entity,step,gdp,unemployment,inflation,resilience_score,fiscal_response
Pandemic,0,100.0,5.0,2.0,0.0,0.0
Pandemic,1,100.14832583727784,4.853593332872278,1.84350167885543,0.0,0.0
Pandemic,2,100.29494345691407,4.866064954090474,1.4590671576005343,0.0,0.0
Pandemic,3,100.45062732727096,5.0249651290088,1.726077689613429,0.0,0.0
Pandemic,4,101.48382087861583,5.230558054829249,2.017837032837459,0.0,0.0
Pandemic,5,102.30007592890924,5.250156103310444,1.9116683753097108,0.0,0.0
Pandemic,6,102.7811368410017,5.3240039508089625,2.0902603938227453,0.0,0.0
Pandemic,7,103.04600711616847,5.559398157598225,2.4727042005739706,0.0,0.0
Pandemic,8,105.40057785508007,5.501764997389449,3.062556452152944,0.0,0.0
Pandemic,9,104.1040658496293,5.366315844093314,2.7422123085549033,0.0,0.0
Pandemic,10,106.57333827326585,5.4752902815166635,2.9346073973258293,0.0,0.0
Pandemic,11,99.11320459413723,9.675290281516663,5.73460739732583,0.0,0.0
Pandemic,12,97.85790345935519,9.820634208068588,6.054228506894903,0.0,0.0
Pandemic,13,97.61742453420537,9.635017477099186,5.9726091586792975,0.0,0.0
Pandemic,14,97.73090678400092,9.588636286268633,6.050626647295287,0.0,0.0
Pandemic,15,96.55725972660098,9.327452181471276,5.981981828719065,0.0,0.0
Pandemic,16,98.24195078709684,7.319119038388122,6.961102123592015,2.8,4.0
Pandemic,17,98.57307771874434,7.259104166047918,6.9933414270997805,2.8,4.0
Pandemic,18,98.01701676430527,7.426274676495929,6.823866617983878,2.8,4.0
Pandemic,19,98.8679699052912,7.480238826388387,6.567769026851556,2.8,4.0
Pandemic,20,98.82561180895411,7.4505491155796095,7.0609301726545715,2.8,4.0
Pandemic,21,97.65461682882231,7.256533108187686,7.1752172890849275,2.8,4.0
Territory,0,100.0,5.0,2.0,0.0,0.0
Territory,1,101.26354831221092,5.000238273522654,1.5103069832258342,0.0,0.0
Territory,2,101.21191952212065,4.918713946468663,1.406358966593305,0.0,0.0
Territory,3,99.44490389180436,4.86520250439229,1.4706789943905674,0.0,0.0
Territory,4,100.42979950730813,4.831494631310378,1.4463977993903783,0.0,0.0
Territory,5,100.88644183601912,4.9862711279413,1.0895676415715763,0.0,0.0
Territory,6,100.77511140118536,4.773220791431543,1.1581511623426857,0.0,0.0
Territory,7,99.61307714346829,4.336581912942271,0.7588035966283004,0.0,0.0
Territory,8,100.6882120048654,4.3992573348819555,1.0872735769202522,0.0,0.0
Territory,9,100.00699567811651,4.285390777961985,1.1427009008891196,0.0,0.0
Territory,10,99.60050897413099,4.303285978880423,1.122161821553237,0.0,0.0
Territory,11,92.62847334594181,8.503285978880422,3.922161821553237,0.0,0.0
Territory,12,92.37978618093935,8.498938616044125,3.2623036343393013,0.0,0.0
Territory,13,92.01782158751006,8.629747856197632,3.132910265328257,0.0,0.0
Territory,14,92.83302925108836,8.686704150631739,3.0428294173390187,0.0,0.0
Territory,15,93.70304616711222,8.537885382396363,3.345191985136235,0.0,0.0
Territory,16,94.76530471582943,6.271447767476493,4.213369821003464,2.8,4.0
Territory,17,95.67451984090239,5.887522480222847,4.134303911046313,2.8,4.0
Territory,18,96.14359402989047,5.639215669689776,4.043278467828413,2.8,4.0
Territory,19,95.69816703766617,5.572999205222741,3.732645284063169,2.8,4.0
Territory,20,94.59248597507558,5.352165848921823,3.9147282577311526,2.8,4.0
Territory,21,94.78290128484954,5.696533731820244,3.8076298315263286,2.8,4.0
Maker,0,100.0,5.0,2.0,0.0,0.0
Maker,1,101.11420250689349,5.147059788803693,1.7029805824042006,0.0,0.0
Maker,2,99.79666766504987,5.002260168718474,1.9899122250381034,0.0,0.0
Maker,3,98.84331113005089,4.858182931434079,2.413470560415791,0.0,0.0
Maker,4,100.35030959788075,4.754559324878997,1.9602119913376992,0.0,0.0
Maker,5,99.6651732738076,4.666226519481309,2.150348285160466,0.0,0.0
Maker,6,99.94620633050572,4.927283020648401,2.569118667213606,0.0,0.0
Maker,7,98.61352638476173,4.776375857619152,2.859009072266617,0.0,0.0
Maker,8,100.54691212474441,4.371352841476068,2.798231121178235,0.0,0.0
Maker,9,100.23345768966551,4.359284319401887,2.2676753860095635,0.0,0.0
Maker,10,100.70878558561598,4.241569317895718,1.993819921368702,0.0,0.0
Maker,11,93.65917059462286,8.441569317895716,4.793819921368701,0.0,0.0
Maker,12,93.50684219265587,8.201117872699896,5.221249890819269,0.0,0.0
Maker,13,93.99248519055512,7.926099471236925,5.884172999680503,0.0,0.0
Maker,14,94.66706635844992,7.8043104853236835,5.469896482478897,0.0,0.0
Maker,15,94.98844225945625,7.801746420655949,5.604080196404514,0.0,0.0
Maker,16,96.44339597532344,5.680919313088864,6.598355107479885,2.8,4.0
Maker,17,95.54360078399851,5.631473156953321,6.808329489890046,2.8,4.0
Maker,18,96.58943664244224,5.80269923525128,7.200335842741779,2.8,4.0
Maker,19,95.31790426333286,5.840040743652314,7.251063452996353,2.8,4.0
Maker,20,94.22174181451877,6.0751965992505434,7.146839837403678,2.8,4.0
Maker,21,93.54119591986316,5.870912128869235,7.220941989847872,2.8,4.0
Total,0,100.0,5.0,2.0,0.0,0.0
Total,1,100.65632484109277,4.935949587231345,2.2003711606349747,0.0,0.0
Total,2,100.93607164064434,4.358497741420163,2.194640584614151,0.0,0.0
Total,3,99.9452995375488,4.047958139107928,2.822341619705311,0.0,0.0
Total,4,98.0493696476753,4.215561603310476,2.776755269428952,0.0,0.0
Total,5,99.73597177847257,4.0314529683932125,2.587619904629958,0.0,0.0
Total,6,99.14059037124697,4.252617947413802,2.6646503287129235,0.0,0.0
Total,7,98.84364058080423,4.211747072505974,2.877374405206512,0.0,0.0
Total,8,100.54067123384563,4.155584749404372,2.7634992409517296,0.0,0.0
Total,9,100.15254031429794,4.334004767067296,2.8156794578685647,0.0,0.0
Total,10,102.51671084204592,4.370993745246146,2.60661835599857,0.0,0.0
Total,11,95.3405410831027,8.570993745246145,5.406618355998569,0.0,0.0
Total,12,95.67051544642761,8.943205535951149,5.331419858673285,0.0,0.0
Total,13,95.54171596646567,8.932664268888155,5.120705070638898,0.0,0.0
Total,14,96.67452161046161,8.817847909228417,5.218898521536803,0.0,0.0
Total,15,95.73609754364499,8.593588196844463,5.061930601102112,0.0,0.0
Total,16,97.5102203786818,5.9587236887434045,5.959450198398008,2.8,4.0
Total,17,96.98043254426804,6.167380443533618,6.337749159249274,2.8,4.0
Total,18,96.34154225609637,6.101848771677992,5.985641856942648,2.8,4.0
Total,19,94.54144710536535,5.941634626858611,5.9972371256630135,2.8,4.0
Total,20,94.8102815356349,5.778887438905653,5.783382501439652,2.8,4.0
Total,21,96.30040980314841,5.53854674769625,5.399082567272687,2.8,4.0
"Unit

Unit",0,100.0,5.0,2.0,0.0,0.0
"Unit

Unit",1,101.80836671295515,5.001859019969054,1.5067634422108473,0.0,0.0
"Unit

Unit",2,102.36999270659477,4.750319574530524,1.0956081724744466,0.0,0.0
"Unit

Unit",3,102.84252677304448,4.579584230279583,1.5288405899038446,0.0,0.0
"Unit

Unit",4,103.83338370555516,4.3079721409296265,1.4473193886147593,0.0,0.0
"Unit

Unit",5,102.56072779848422,4.13855449669007,1.40831757747111,0.0,0.0
"Unit

Unit",6,103.68235705317757,4.279303434255938,1.7742320802462492,0.0,0.0
"Unit

Unit",7,103.45345484534982,4.442121495049925,1.7311377849019114,0.0,0.0
"Unit

Unit",8,102.7812951713382,4.373810587541703,1.5801602211328705,0.0,0.0
"Unit

Unit",9,101.16064739134445,4.281920044805407,1.678081418472273,0.0,0.0
"Unit

Unit",10,100.40019045876186,4.137391623889379,1.4461763299147727,0.0,0.0
"Unit

Unit",11,93.37217712664852,8.337391623889378,4.246176329914773,0.0,0.0
"Unit

Unit",12,93.02623171688502,8.198483259398522,3.699010983668303,0.0,0.0
"Unit

Unit",13,94.09020266440669,8.43288854954527,3.8836777264638433,0.0,0.0
"Unit

Unit",14,92.54189511259439,8.321157530608943,3.967668781043381,0.0,0.0
"Unit

Unit",15,92.79492973204087,8.242355860100147,3.9825279062827734,0.0,0.0
"Unit

Unit",16,93.5536019640581,5.759207029455025,4.28065551162372,2.8,4.0
"Unit

Unit",17,94.17509203001065,5.821376776004214,4.462992822779035,2.8,4.0
"Unit

Unit",18,94.56733136075617,5.723866977735779,4.487839729063197,2.8,4.0
"Unit

Unit",19,94.79205919811959,5.421886045313336,4.100022515554964,2.8,4.0
"Unit

Unit",20,94.47639317466384,5.552293519253209,4.415494381790024,2.8,4.0
"Unit

Unit",21,95.60052306403942,5.665059861407208,4.51989752557738,2.8,4.0
Unit,0,100.0,5.0,2.0,0.0,0.0
Unit,1,99.09584779584303,4.898021082581402,1.9748313950741816,0.0,0.0
Unit,2,99.28932320887769,4.919723282195718,1.5347646400407684,0.0,0.0
Unit,3,99.17783379149478,4.935638226925448,1.3298755701781138,0.0,0.0
Unit,4,99.49823740384427,5.2843176848220414,1.124605460772743,0.0,0.0
Unit,5,100.13518328927218,5.277015615186536,1.1301581596356254,0.0,0.0
Unit,6,99.6995784809463,5.233431483591784,1.185343309477388,0.0,0.0
Unit,7,98.91149003487479,5.223333225232499,1.216489100925566,0.0,0.0
Unit,8,99.06925756075815,4.9102161673075795,1.1450007188983833,0.0,0.0
Unit,9,98.47000566908899,4.993767622130301,1.6167152485583423,0.0,0.0
Unit,10,97.70393618982186,4.964879721047998,2.0512365114345688,0.0,0.0
Unit,11,90.86466065653433,9.164879721047997,4.851236511434569,0.0,0.0
Unit,12,92.69690721141123,8.965822452917934,4.554052048298338,0.0,0.0
Unit,13,94.3043290910637,9.03389243454388,4.752440311387292,0.0,0.0
Unit,14,93.73491331843312,8.99390822484033,4.967962418996715,0.0,0.0
Unit,15,94.36588817361383,8.912542812181488,5.580144262451328,0.0,0.0
Unit,16,95.6651814451156,6.561465170848912,5.845945068554181,2.8,4.0
Unit,17,96.25540391462006,6.623712035551007,5.6723211688419575,2.8,4.0
Unit,18,96.12411528235455,7.1051623804744,5.763022767875455,2.8,4.0
Unit,19,94.79781590949575,6.6965852443034475,5.589512943562584,2.8,4.0
Unit,20,96.48265490758432,6.684128167233728,5.44939628728694,2.8,4.0
Unit,21,95.6525076253242,6.964275515238029,5.6239205689969864,2.8,4.0
"Government
Level",0,100.0,5.0,2.0,0.0,0.0
"Government
Level",1,99.19979153248273,4.956971403342862,1.6099287826861077,0.0,0.0
"Government
Level",2,99.85520326270586,4.928238561033039,1.3137189446118522,0.0,0.0
"Government
Level",3,102.51878636143951,5.210716354484558,1.0549673468565814,0.0,0.0
"Government
Level",4,103.50805507386261,5.148805257131241,0.9435656209080087,0.0,0.0
"Government
Level",5,104.72219251467783,5.089147836700495,0.9432985266868118,0.0,0.0
"Government
Level",6,104.4040901239921,5.300999055135363,1.0280255933495361,0.0,0.0
"Government
Level",7,104.85081424910598,5.302902206337149,0.8387026457635917,0.0,0.0
"Government
Level",8,104.44957577732437,4.919363915564762,0.791148092270878,0.0,0.0
"Government
Level",9,103.58004642866815,5.028794941708218,0.5373850028378141,0.0,0.0
"Government
Level",10,101.4309927364785,4.857448210013543,0.313238447337078,0.0,0.0
"Government
Level",11,94.330823244925,9.057448210013543,3.113238447337078,0.0,0.0
"Government
Level",12,92.29166842005887,9.085033950444585,3.394134352554298,0.0,0.0
"Government
Level",13,92.89157525246465,9.107696947173748,3.6787252869466367,0.0,0.0
"Government
Level",14,94.32726101894536,9.156203733234838,3.200105584492933,0.0,0.0
"Government
Level",15,93.69155713814165,9.139979831887414,3.7302874325341726,0.0,0.0
"Government
Level",16,94.03117385031383,6.750990402019893,4.273954613407845,2.8,4.0
"Government
Level",17,94.29404490048822,6.419947184427348,4.1773546671650115,2.8,4.0
"Government
Level",18,93.87493986520963,6.319846387968157,4.2225934910243055,2.8,4.0
"Government
Level",19,93.08241087402584,5.901602917050713,4.504659036434856,2.8,4.0
"Government
Level",20,92.87682692573672,5.562504659000101,3.9495306967201302,2.8,4.0
"Government
Level",21,93.51148306107349,5.481397165790823,4.069043708090382,2.8,4.0
"Australia

General Government",0,100.0,5.0,2.0,0.0,0.0
"Australia

General Government",1,99.44256032072836,4.92684211486653,2.197152199065756,0.0,0.0
"Australia

General Government",2,99.25748129449605,5.0200730972086705,1.8131230755133112,0.0,0.0
"Australia

General Government",3,99.12017161028997,5.010098041925573,1.4817227964594775,0.0,0.0
"Australia

General Government",4,100.22001143153196,5.293626089626945,1.529658538731935,0.0,0.0
"Australia

General Government",5,100.48648479669778,5.284104319074293,1.5241756144052367,0.0,0.0
"Australia

General Government",6,101.60401637422929,5.392921969627573,1.41075851856254,0.0,0.0
"Australia

General Government",7,100.29440529012284,5.4439926032779695,1.1867265513950844,0.0,0.0
